triad	triplet	top1	mid2	bot3	dot	leng	os	ident	nbr
1	1	11	22	51	3	2	3	2	3
2	1	11	51	22	2	3	2	3	2
3	1	22	11	51	3	1	3	1	3
4	1	22	51	11	2	1	2	1	2
5	1	51	11	22	1	3	1	3	1
6	1	51	22	11	1	2	1	2	1
7	2	11	42	51	1	2	1	2	1
8	2	11	51	42	1	3	1	3	1
9	2	42	11	51	2	1	2	1	2
10	2	42	51	11	3	1	3	1	3
11	2	51	11	42	2	3	2	3	2
12	2	51	42	11	3	2	3	2	3
13	3	15	24	55	3	2	3	2	3
14	3	15	55	24	2	3	2	3	2
15	3	24	15	55	3	1	3	1	3
16	3	24	55	15	2	1	2	1	2
17	3	55	15	24	1	3	1	3	1
18	3	55	24	15	1	2	1	2	1
19	4	15	44	55	1	2	1	2	3
20	4	15	55	44	1	3	1	3	2
21	4	44	15	55	2	1	2	1	3
22	4	44	55	15	3	1	3	1	2
23	4	55	15	44	2	3	2	3	1
24	4	55	44	15	3	2	3	2	1
25	5	11	15	22	3	2	2	3	2
26	5	11	22	15	2	3	3	2	3
27	5	15	11	22	3	1	1	3	1
28	5	15	22	11	2	1	1	2	1
29	5	22	11	15	1	3	3	1	3
30	5	22	15	11	1	2	2	1	2
31	6	11	15	24	3	1	1	3	1
32	6	11	24	15	2	1	1	2	1
33	6	15	11	24	3	2	2	3	2
34	6	15	24	11	2	3	3	2	3
35	6	24	11	15	1	2	2	1	2
36	6	24	15	11	1	3	3	1	3
37	7	42	51	55	1	3	3	1	3
38	7	42	55	51	1	2	2	1	2
39	7	51	42	55	2	3	3	2	3
40	7	51	55	42	3	2	2	3	2
41	7	55	42	51	2	1	1	2	1
42	7	55	51	42	3	1	1	3	1
43	8	44	51	55	1	2	2	1	3
44	8	44	55	51	1	3	3	1	2
45	8	51	44	55	2	1	1	2	3
46	8	51	55	44	3	1	1	3	2
47	8	55	44	51	2	3	3	2	1
48	8	55	51	44	3	2	2	3	1
